disease,precaution1,precaution2,precaution3
Common Cold,"Get plenty of rest - 8-10 hours sleep","Drink warm fluids - tea, soup, water","Wash hands frequently to prevent spread"
Flu,"Stay home and rest - avoid work/school","Drink plenty of fluids - water, juice, soup","Take fever reducers as needed"
COVID-19,"Isolate from others - stay in separate room","Wear mask if around others","Monitor oxygen levels with pulse oximeter"
Bronchitis,"Avoid smoke and irritants","Use humidifier to loosen mucus","Rest and avoid strenuous activity"
Pneumonia,"SEEK EMERGENCY CARE NOW","Do not delay treatment","Hospital care likely needed"
Asthma,"Use inhaler as prescribed","Avoid triggers (smoke, dust, pollen)","Sit upright if having attack"
Stomach Pain,"Avoid spicy and fatty foods","Eat small frequent meals","Rest and avoid stress"
Food Poisoning,"Rest your stomach - no solid food first","Stay hydrated with small sips","Avoid dairy and fatty foods"
Acid Reflux,"Don't lie down for 3 hours after eating","Elevate head while sleeping","Avoid trigger foods (spicy, citrus, coffee)"
Constipation,"Drink 8-10 glasses of water daily","Eat high-fiber foods (fruits, vegetables)","Exercise regularly - walking helps"
Headache,"Rest in dark, quiet room","Stay hydrated - drink water","Avoid screens and bright lights"
Migraine,"Rest in dark, quiet room","Apply cold compress to head","Avoid triggers (certain foods, stress)"
Back Pain,"Apply heat or cold pack","Gentle stretching - don't push through pain","Maintain good posture"
Arthritis,"Gentle exercise - swimming, walking","Apply heat before activity, cold after","Rest painful joints when inflamed"
UTI,"Drink lots of water - flush bacteria","Urinate frequently - don't hold","Avoid caffeine and alcohol"
Strep Throat,"Rest your voice - avoid talking","Gargle warm salt water","Use humidifier to moisten air"
Sinusitis,"Use saline nasal spray","Apply warm compress to face","Stay hydrated - drink water"
Ear Infection,"Apply warm compress to ear","Rest and avoid water in ear","Sleep with head elevated"
Eczema,"Moisturize skin twice daily","Avoid scratching - pat or tap","Take cool baths with oatmeal"
Acne,"Wash face twice daily with gentle cleanser","Don't pick or squeeze pimples","Change pillowcases frequently"
Hives,"Avoid known triggers","Apply cold compress for itching","Wear loose, cotton clothing"
Ringworm,"Keep area clean and dry","Don't share towels or clothes","Wash hands after touching rash"
Diabetes,"Monitor blood sugar regularly","Eat balanced meals at regular times","Exercise regularly - check sugar before"
High BP,"Reduce salt intake - avoid processed foods","Exercise 30 minutes daily","Take medication as prescribed"
Anemia,"Eat iron-rich foods (spinach, beans, meat)","Take iron with vitamin C for absorption","Rest when tired"
Allergies,"Avoid known triggers (pollen, dust, pets)","Shower after being outside","Keep windows closed during high pollen"
Anxiety,"Practice deep breathing exercises","Exercise regularly - walking helps","Talk to someone you trust"
Depression,"Talk to therapist or counselor","Exercise - even short walks help","Maintain regular sleep schedule"
Insomnia,"No screens 1 hour before bed","Keep same sleep/wake time daily","Create relaxing bedtime routine"
Stress,"Take breaks throughout day","Exercise - releases tension","Talk to friends or family"
Period Cramps,"Apply heating pad to lower belly","Light exercise - walking, stretching","Rest and avoid heavy activity"
